"","State","Date","Region","Active.Cases"
"494","Kedah",2020-10-27,"Sik",1
"495","Kedah",2020-10-28,"Yan",0
"496","Kedah",2020-10-29,"Kuala Muda",1
"497","Kedah",2020-10-30,"Kota Setar",99
"498","Kedah",2020-10-31,"Kubang Pasu",12
"499","Kedah",2020-11-01,"Kulim",6
"500","Kedah",2020-11-02,"Pendang",0
"501","Kedah",2020-11-03,"Baling",1
"502","Kedah",2020-11-04,"Padang Terap",0
"503","Kedah",2020-11-05,"Langkawi",3
"504","Kedah",2020-11-06,"Bandar Baharu",13
"505","Kedah",2020-11-07,"Sik",4
"506","Kedah",2020-11-08,"Yan",0
"507","Kedah",2020-11-09,"Kuala Muda",2
"508","Kedah",2020-11-10,"Kota Setar",100
"509","Kedah",2020-11-11,"Kubang Pasu",13
"510","Kedah",2020-11-12,"Kulim",9
"511","Kedah",2020-11-13,"Pendang",0
"512","Kedah",2020-11-14,"Baling",1
"513","Kedah",2020-11-15,"Padang Terap",0
"514","Kedah",2020-11-16,"Langkawi",3
"515","Kedah",2020-11-17,"Bandar Baharu",13
"516","Kedah",2020-11-18,"Sik",5
"517","Kedah",2020-11-19,"Yan",0
"518","Kedah",2020-11-20,"Kuala Muda",7
"519","Kedah",2020-11-21,"Kota Setar",45
"520","Kedah",2020-11-22,"Kubang Pasu",16
"521","Kedah",2020-11-23,"Kulim",11
"522","Kedah",2020-11-24,"Pendang",0
"523","Kedah",2020-11-25,"Baling",0
"524","Kedah",2020-11-26,"Padang Terap",0
"525","Kedah",2020-11-27,"Langkawi",3
"526","Kedah",2020-11-28,"Bandar Baharu",12
"527","Kedah",2020-11-29,"Sik",5
"528","Kedah",2020-11-30,"Yan",0
"529","Kedah",2020-09-26,"Kuala Muda",4
"530","Kedah",2020-09-27,"Kota Setar",51
"531","Kedah",2020-09-28,"Kubang Pasu",14
"532","Kedah",2020-09-29,"Kulim",22
"533","Kedah",2020-09-30,"Pendang",0
"534","Kedah",2020-10-01,"Baling",0
"535","Kedah",2020-10-02,"Padang Terap",0
"536","Kedah",2020-10-03,"Langkawi",3
"537","Kedah",2020-10-04,"Bandar Baharu",7
"538","Kedah",2020-10-05,"Sik",5
"539","Kedah",2020-10-06,"Yan",0
"540","Kedah",2020-10-07,"Kuala Muda",4
"541","Kedah",2020-10-08,"Kota Setar",50
"542","Kedah",2020-10-09,"Kubang Pasu",17
"543","Kedah",2020-10-10,"Kulim",21
"544","Kedah",2020-10-11,"Pendang",0
"545","Kedah",2020-10-12,"Baling",0
"546","Kedah",2020-10-13,"Padang Terap",0
"547","Kedah",2020-10-14,"Langkawi",3
"548","Kedah",2020-10-15,"Bandar Baharu",4
"549","Kedah",2020-10-16,"Sik",5
"550","Kedah",2020-10-17,"Yan",0
"551","Kedah",2020-10-18,"Kuala Muda",4
"552","Kedah",2020-10-19,"Kota Setar",39
"553","Kedah",2020-10-20,"Kubang Pasu",18
"554","Kedah",2020-10-21,"Kulim",27
"555","Kedah",2020-10-22,"Pendang",0
"556","Kedah",2020-10-23,"Baling",0
"557","Kedah",2020-10-24,"Padang Terap",0
"558","Kedah",2020-10-25,"Langkawi",3
"559","Kedah",2020-10-26,"Bandar Baharu",4
"560","Kedah",2020-10-27,"Sik",5
"561","Kedah",2020-10-28,"Yan",0
"562","Kedah",2020-10-29,"Kuala Muda",4
"563","Kedah",2020-10-30,"Kota Setar",39
"564","Kedah",2020-10-31,"Kubang Pasu",19
"565","Kedah",2020-11-01,"Kulim",27
"566","Kedah",2020-11-02,"Pendang",0
"567","Kedah",2020-11-03,"Baling",0
"568","Kedah",2020-11-04,"Padang Terap",0
"569","Kedah",2020-11-05,"Langkawi",3
"570","Kedah",2020-11-06,"Bandar Baharu",4
"571","Kedah",2020-11-07,"Sik",5
"572","Kedah",2020-11-08,"Yan",0
"573","Kedah",2020-11-09,"Kuala Muda",3
"574","Kedah",2020-11-10,"Kota Setar",35
"575","Kedah",2020-11-11,"Kubang Pasu",20
"576","Kedah",2020-11-12,"Kulim",26
"577","Kedah",2020-11-13,"Pendang",0
